questions,model_answer,student_answer,teacher_marks,total_marks
Give an example of conduction.,Heating a metal rod on one end makes the other end hot.,rod get hot,1,5
What is convection?,Convection is the transfer of heat through liquids and gases.,heat go in air and water,1,5
Give one example of convection.,Boiling water where hot water rises and cool water sinks.,water boil,1,5
What is radiation?,Radiation is the transfer of heat without any medium.,heat go with no touch.,2,5
Give an example of radiation.,The sun warming the Earth is radiation.,sun give heat to earth,2,5
Why does a metal spoon feel hot in soup?,Because metal conducts heat from the hot soup.,spoon hot from soup,2,5
Which materials are good conductors of heat?,Metals like copper and aluminum are good conductors.,metel good heat,1,5
Which materials are poor conductors of heat?,"Wood, plastic, and rubber are poor conductors.",wood and plastick no heat,1,5
What is thermal expansion?,Thermal expansion is the increase in size when heated.,it get big with hot,2,5
What happens to solids when heated?,Solids expand when heated.,solids grow in hot,2,5
What happens to liquids when heated?,Liquids expand when heated.,hot make liqud big,2,5
Why do gaps exist in railway tracks?,To allow for expansion due to heat.,track hot so gap needed,2,5
Why does a glass bottle crack with boiling water?,Because glass expands quickly and cracks.,bottle break from hot,1,5
Why doesn't borosil glass crack?,Borosil glass can handle heat and expands slowly.,it don't break,1,5
Why do telephone wires sag in summer?,Because metal wires expand due to heat.,wires big in hot,2,5
Why do wires tighten in winter?,Metal wires contract when cold.,cold make wire small,2,5
What are good conductors?,Substances that let heat pass through easily.,heat go in it easy,2,5
What are bad conductors?,Substances that do not allow heat to pass through easily.,heat no go in it,2,5
Is wood a conductor?,Wood is a poor conductor.,wood no heat,1,5
Is iron a good conductor?,"Yes, iron is a good conductor.",iron yes heat,1,5
Why does iron feel colder than wood in winter?,Because iron conducts heat away from our skin.,iron make cold,1,5
What is dew?,Dew is water droplets formed by condensation.,dew is water in morning,2,5
Why does dew form in winter?,Because cold air turns water vapor into liquid.,cold make drops,2,5
How does heat move in water?,Heat moves in water by convection.,heat go in water with mov,1,5
Can heat move through vacuum?,"Yes, through radiation.",yes by ray,1,5
What is a conductor?,A material that allows heat to pass.,pass heat,1,5
What is an insulator?,A material that does not allow heat to pass.,no heat pass,1,5
Name one good conductor.,Copper,cooper,2,5
Name one bad conductor.,Plastic,plastek,2,5
How does metal pan get hot on stove?,Heat is conducted from stove to pan.,stove make pan hot,2,5
What happens when water is heated?,It expands and becomes lighter.,water grow hot,1,5
Why does hot air rise?,Because it is lighter than cold air.,hot air go up,2,5
What is convection current?,It is the circular motion of liquid or gas when heated.,hot air and water move round,2,5
Why is radiation important?,It helps transfer heat from the sun.,sun heat earth,2,5
Name a tool that uses radiation.,A microwave oven,microven,2,5
Why does black surface get hotter?,Because black absorbs more heat.,black more hot,2,5
Which is better conductor: metal or wood?,Metal is a better conductor than wood.,metal better,2,5
What happens to thermometer in heat?,Mercury expands and rises.,mercury go up,2,5
What is the role of sun in heat transfer?,Sun gives heat through radiation.,sun make heat,2,5
What happens if we touch hot iron?,We feel pain because heat is conducted quickly.,it burn,1,5
What happens when you heat a balloon?,It expands and may burst.,ball big,1,5
How does a kettle boil water?,Heat conducts from fire to water.,fire hot water,1,5
Why can't you touch a hot pan?,Because it conducts a lot of heat.,too hot,1,5
What is expansion?,Increase in size due to heat.,big from hot,2,5
What is contraction?,Decrease in size when cooled.,cold make small,2,5
Why do cooking pots have plastic handles?,Because plastic is a bad conductor.,plastic no heat,2,5
What will happen if cold water is poured in a hot glass?,The glass may crack due to sudden contraction.,glass break,1,5
What is a famine?,A famine is a severe shortage of food that affects a large number of people.,Famine is when no food.,1,5
Are we responsible for famine?,"Yes, human activities like deforestation, overpopulation, and poor farming practices can cause famine.",Some time people do famin.,1,5
What is a cloudburst?,"A cloudburst is a sudden and heavy rainfall in a short period, causing floods.",It rains so much sudnly.,1,5
What are the effects of a volcano?,"Volcanic eruptions can destroy land, affect climate, and harm people and animals.",Lava eat homes and pepoles run.,2,5
What is a tsunami?,A tsunami is a large ocean wave usually caused by underwater earthquakes.,Tsunami is big water come.,1,5
What gives rise to a tsunami?,Underwater earthquakes or volcanic eruptions cause tsunamis.,Earth go shake water up.,1,5
What is lightning?,"Lightning is a sudden flash of electricity in the sky, usually during storms.",Lightning is the fire in sky.,1,5
What is a volcano?,"A volcano is an opening in the Earth's surface where lava, ash, and gases come out.",Volcano is big mountain lava.,2,5
What happens during a tsunami?,"Huge waves rush towards the shore, destroying everything in their path.",Big water come fast and break.,2,5
What is storm?,"A storm is a violent weather condition with strong winds, rain, or snow.",Storm is big wind and rain.,2,5
What are safety steps during a flood?,"Move to higher ground, avoid floodwater, and listen to alerts.",go high and don't touch water.,2,5
Name one disaster caused by nature.,Earthquake is a natural disaster.,Fire.,0,5
What should you do during lightning?,Stay indoors and avoid metal objects and trees.,Run in house and dont touch wires.,2,5
How does volcano affect air?,Volcano releases ash and gases that pollute the air.,Ash go up and air bad.,2,5
What damage does flood do?,"Floods destroy houses, crops, and roads.",Water brake all.,1,5
What are effects of cloudburst?,"It causes floods, landslides, and property damage.",Rains then many flood.,1,5
Why do tsunamis occur?,Tsunamis occur due to undersea earthquakes or volcanic eruptions.,Under water something happen.,1,5
Can famine be prevented?,"Yes, by proper farming and saving food.",Yes not wasting.,2,5
Is lightning dangerous?,"Yes, it can cause fires and kill people.",Light from sky hit.,1,5
What is the role of early warning systems?,They help people prepare for disasters and stay safe.,It tell us when bad things come.,2,5
What are man-made causes of famine?,"War, poor planning, and deforestation can cause famine.",War and no food.,2,5
How does a tsunami form?,It forms when energy from an earthquake moves ocean water upward.,Shaking in water makes wave.,2,5
What happens when a volcano erupts?,"Lava flows, ash spreads, and ground shakes.",Lava comes out and ash go up.,3,5
What is the harm of volcano ash?,"It can damage lungs, machines, and buildings.",It dirty air and breath hard.,2,5
Why is food stored?,Food is stored to prevent wastage and famine.,So we don't lose food.,2,5
What is one thing to do before a storm?,Stay indoors and secure loose objects.,Stay in house.,2,5
How do volcanoes help land?,Lava can make soil rich for farming.,Lava makes good land.,2,5
What is one sign of tsunami?,Water suddenly pulls away from the shore.,Water go back.,2,5
Name two effects of lightning.,Fires and electric damage.,"Fire, danger.",2,5
Why do people suffer in floods?,Their homes and food get destroyed.,All gone in water.,1,5
What is emergency kit?,"A kit with first aid, food, water, and light for disasters.",Bag with food and lamp.,2,5
Why does famine kill people?,They don't get enough food to survive.,People not eat then die.,1,5
What do you do after tsunami?,"Look for help, stay away from water, and check for injuries.",Go high and call help.,2,5
Why does lightning strike trees?,Trees are tall and conduct electricity.,Trees is tall.,1,5
Is flood a natural disaster?,"Yes, it is caused by nature.",Yes.,1,5
What should be done before a volcano erupts?,Evacuate and wear protective gear.,Run from place.,1,5
